LLA:time = ,435348.99900, pos = ,116.33890,39.97955,50.89628
xyz:time = ,435349.99900, pos = ,-2171460.53719,4386116.00437,4076278.34799
LLA:time = ,435349.99900, pos = ,116.33890,39.97955,51.02782
xyz:time = ,435350.99900, pos = ,-2171459.69921,4386115.47208,4076277.77673
LLA:time = ,435350.99900, pos = ,116.33890,39.97955,50.01034
xyz:time = ,435351.99900, pos = ,-2171460.57015,4386115.93545,4076278.25903
LLA:time = ,435351.99900, pos = ,116.33891,39.97955,50.93454
xyz:time = ,435352.99900, pos = ,-2171459.29199,4386114.95938,4076277.43974
LLA:time = ,435352.99900, pos = ,116.33890,39.97955,49.30329
xyz:time = ,435353.99900, pos = ,-2171457.76160,4386114.00977,4076276.41706
LLA:time = ,435353.99900, pos = ,116.33889,39.97955,47.47378
xyz:time = ,435354.99900, pos = ,-2171460.00073,4386115.15936,4076277.55358
LLA:time = ,435354.99900, pos = ,116.33890,39.97955,49.75472
xyz:time = ,435355.99900, pos = ,-2171459.50245,4386114.85967,4076277.24171
LLA:time = ,435355.99900, pos = ,116.33890,39.97955,49.17913
xyz:time = ,435356.99900, pos = ,-2171458.94550,4386114.38423,4076276.83552
LLA:time = ,435356.99900, pos = ,116.33890,39.97955,48.40230
xyz:time = ,435357.99900, pos = ,-2171460.09156,4386115.17348,4076277.57871
LLA:time = ,435357.99900, pos = ,116.33890,39.97955,49.81145
xyz:time = ,435358.99900, pos = ,-2171459.63971,4386114.96348,4076277.52821
LLA:time = ,435358.99900, pos = ,116.33890,39.97955,49.48117
xyz:time = ,435359.99900, pos = ,-2171460.48109,4386115.54655,4076278.23270
LLA:time = ,435359.99900, pos = ,116.33891,39.97955,50.62028
xyz:time = ,435360.99900, pos = ,-2171460.50029,4386115.73286,4076278.51625
LLA:time = ,435360.99900, pos = ,116.33891,39.97955,50.93692
xyz:time = ,435361.99900, pos = ,-2171459.99296,4386115.67175,4076277.63375
LLA:time = ,435361.99900, pos = ,116.33890,39.97954,50.15546
xyz:time = ,435362.99900, pos = ,-2171459.86701,4386115.75007,4076277.22159
LLA:time = ,435362.99900, pos = ,116.33890,39.97954,49.90160
xyz:time = ,435363.99900, pos = ,-2171458.69780,4386115.38740,4076276.58469
LLA:time = ,435363.99900, pos = ,116.33889,39.97954,48.84582
xyz:time = ,435364.99900, pos = ,-2171458.29102,4386115.12957,4076276.78956
LLA:time = ,435364.99900, pos = ,116.33889,39.97955,48.66210
